osmid,y,x,highway,street_count,geometry
6720356424,14.6300828,120.9477327,,4,POINT (120.9477327 14.6300828)
6720356425,14.6300851,120.9476736,,4,POINT (120.9476736 14.6300851)
6720356426,14.6308623,120.9481229,,3,POINT (120.9481229 14.6308623)
6720356429,14.6304085,120.9476697,,3,POINT (120.9476697 14.6304085)
6720425711,14.590213,120.9804556,,3,POINT (120.9804556 14.590213)
6755426409,14.5930537,120.9791243,,3,POINT (120.9791243 14.5930537)
6755426410,14.590442,120.9805328,,1,POINT (120.9805328 14.590442)
6755426413,14.5928857,120.9792637,,3,POINT (120.9792637 14.5928857)
6755426414,14.5936658,120.9785528,,3,POINT (120.9785528 14.5936658)
6755426415,14.5904284,120.9805282,,3,POINT (120.9805282 14.5904284)
6755426417,14.5936046,120.978532,,3,POINT (120.978532 14.5936046)
6758868043,14.5904165,120.9790008,,3,POINT (120.9790008 14.5904165)
6758868059,14.59216,120.978212,,3,POINT (120.978212 14.59216)
6762879403,14.5829097,120.9781554,,3,POINT (120.9781554 14.5829097)
6765985721,14.5897108,120.9820342,,4,POINT (120.9820342 14.5897108)
6765985722,14.5875791,120.9819072,,3,POINT (120.9819072 14.5875791)
6765996510,14.5893523,120.9820961,,3,POINT (120.9820961 14.5893523)
6765996511,14.5889605,120.982132,,3,POINT (120.982132 14.5889605)
6769373318,14.5952106,120.9672095,,3,POINT (120.9672095 14.5952106)
6773326485,14.6008482,121.0131997,crossing,4,POINT (121.0131997 14.6008482)
6773340505,14.5821249,120.9810192,crossing,3,POINT (120.9810192 14.5821249)
6773414789,14.5975616,121.0167158,crossing,4,POINT (121.0167158 14.5975616)
6773492190,14.5887699,120.9711115,crossing,4,POINT (120.9711115 14.5887699)
6773492695,14.5918843,121.0258489,,1,POINT (121.0258489 14.5918843)
6773493393,14.5918672,121.0258677,crossing,4,POINT (121.0258677 14.5918672)
6773500198,14.5765657,120.9825354,crossing,4,POINT (120.9825354 14.5765657)
6773505494,14.5909472,121.0055609,crossing,4,POINT (121.0055609 14.5909472)
6773510088,14.5752053,120.9898955,crossing,4,POINT (120.9898955 14.5752053)
6773524686,14.5842665,120.9990114,crossing,4,POINT (120.9990114 14.5842665)
6773538338,14.5858758,121.0014114,crossing,4,POINT (121.0014114 14.5858758)
6773550606,14.582177,120.9811225,crossing,3,POINT (120.9811225 14.582177)
6774284126,14.5808455,121.0100335,,3,POINT (121.0100335 14.5808455)
6776052606,14.5844928,120.9785919,,3,POINT (120.9785919 14.5844928)
6776052616,14.584024,120.9788783,,3,POINT (120.9788783 14.584024)
6776052618,14.5834911,120.979204,,3,POINT (120.979204 14.5834911)
6776052619,14.5839118,120.9787388,,1,POINT (120.9787388 14.5839118)
6776161622,14.5975089,120.978199,,3,POINT (120.978199 14.5975089)
6776161623,14.597088,120.9784847,,3,POINT (120.9784847 14.597088)
6814792646,14.6274059,120.9901647,,3,POINT (120.9901647 14.6274059)
6814792647,14.628547,120.9905176,,3,POINT (120.9905176 14.628547)
6814792648,14.6292849,120.9907622,,3,POINT (120.9907622 14.6292849)
6814792649,14.6336859,120.9922215,,3,POINT (120.9922215 14.6336859)
6814792654,14.5967211,120.9768405,,3,POINT (120.9768405 14.5967211)
6814792655,14.5967217,120.9766819,,3,POINT (120.9766819 14.5967217)
6829901490,14.5820803,120.9812824,crossing,4,POINT (120.9812824 14.5820803)
6842638831,14.6260394,120.9663004,,1,POINT (120.9663004 14.6260394)
6842638832,14.6239677,120.9670888,,3,POINT (120.9670888 14.6239677)
6842638833,14.6240177,120.9673827,,1,POINT (120.9673827 14.6240177)
6849079088,14.5689733,120.9840368,,3,POINT (120.9840368 14.5689733)
6877682870,14.591436,120.9804961,,3,POINT (120.9804961 14.591436)
6884099046,14.6141982,121.0001756,,3,POINT (121.0001756 14.6141982)
6887715891,14.5984138,120.9806801,,4,POINT (120.9806801 14.5984138)
6924229930,14.5917562,120.999236,,3,POINT (120.999236 14.5917562)
6924229931,14.5921299,120.9989065,,1,POINT (120.9989065 14.5921299)
6936560150,14.6260295,120.9668839,,3,POINT (120.9668839 14.6260295)
6936560154,14.6260636,120.9668558,,3,POINT (120.9668558 14.6260636)
6936563615,14.6272394,120.9701353,,3,POINT (120.9701353 14.6272394)
6936580530,14.6255891,120.967238,,3,POINT (120.967238 14.6255891)
6936580531,14.6260248,120.9668781,,3,POINT (120.9668781 14.6260248)
6936608614,14.6346066,120.9655382,,3,POINT (120.9655382 14.6346066)
6936608628,14.634593,120.9654655,,3,POINT (120.9654655 14.634593)
6938645686,14.6105868,120.9935322,,1,POINT (120.9935322 14.6105868)
6938645688,14.610164,120.9935418,,3,POINT (120.9935418 14.610164)
6956911649,14.5721544,120.9824801,,3,POINT (120.9824801 14.5721544)
6957116396,14.5729702,120.9809771,,4,POINT (120.9809771 14.5729702)
6957116397,14.5729158,120.9808571,,3,POINT (120.9808571 14.5729158)
6957116398,14.5718325,120.9816897,,3,POINT (120.9816897 14.5718325)
6969118000,14.567702,120.9886474,,1,POINT (120.9886474 14.567702)
6975585162,14.5941764,121.0255738,,3,POINT (121.0255738 14.5941764)
6982003739,14.5904942,121.0038233,,3,POINT (121.0038233 14.5904942)
6989872338,14.5969774,120.9765373,,3,POINT (120.9765373 14.5969774)
6989872348,14.599987,120.9742404,,3,POINT (120.9742404 14.599987)
6992521096,14.617096,120.9855554,,3,POINT (120.9855554 14.617096)
6992521097,14.6171063,120.9859085,,3,POINT (120.9859085 14.6171063)
7006051789,14.5912273,120.9703155,,1,POINT (120.9703155 14.5912273)
7006051791,14.5830068,120.9757551,crossing,4,POINT (120.9757551 14.5830068)
7006051792,14.5828825,120.9758248,,3,POINT (120.9758248 14.5828825)
