osmid,y,x,street_count,highway,ref,geometry
7679041424,15.1628378,120.6042595,3,,,POINT (120.6042595 15.1628378)
7679041425,15.1624744,120.6036515,1,,,POINT (120.6036515 15.1624744)
7679041426,15.1623917,120.6038355,3,,,POINT (120.6038355 15.1623917)
7679041427,15.1610641,120.6036113,1,,,POINT (120.6036113 15.1610641)
7679041439,15.1629299,120.6039855,3,,,POINT (120.6039855 15.1629299)
7679041443,15.1628168,120.603506,3,,,POINT (120.603506 15.1628168)
7679041447,15.1623883,120.6031305,3,,,POINT (120.6031305 15.1623883)
7679041448,15.1632092,120.6032455,3,,,POINT (120.6032455 15.1632092)
7679041453,15.1623792,120.6030124,3,,,POINT (120.6030124 15.1623792)
7679041456,15.161826,120.6025095,1,,,POINT (120.6025095 15.161826)
7679041457,15.1619084,120.6020233,3,,,POINT (120.6020233 15.1619084)
7679041463,15.1611954,120.6026018,3,,,POINT (120.6026018 15.1611954)
7679041465,15.1609683,120.6024281,3,,,POINT (120.6024281 15.1609683)
7679041472,15.1613903,120.6017505,1,,,POINT (120.6017505 15.1613903)
7679041478,15.1630938,120.6051676,1,,,POINT (120.6051676 15.1630938)
7679041481,15.1627741,120.6071658,1,,,POINT (120.6071658 15.1627741)
7679041485,15.1628125,120.6067249,3,,,POINT (120.6067249 15.1628125)
7679041486,15.1627443,120.6068668,1,,,POINT (120.6068668 15.1627443)
7679041494,15.1623832,120.6066603,1,,,POINT (120.6066603 15.1623832)
7679041495,15.1620271,120.6065678,3,,,POINT (120.6065678 15.1620271)
7679041496,15.1628181,120.60592,1,,,POINT (120.60592 15.1628181)
7679041497,15.1623265,120.6057098,4,,,POINT (120.6057098 15.1623265)
7679041498,15.1633753,120.6039921,1,,,POINT (120.6039921 15.1633753)
7679041505,15.1630298,120.6037203,3,,,POINT (120.6037203 15.1630298)
7679041512,15.1641153,120.6047784,3,,,POINT (120.6047784 15.1641153)
7679041513,15.1641643,120.6043924,1,,,POINT (120.6043924 15.1641643)
7679041514,15.1642186,120.6040317,1,,,POINT (120.6040317 15.1642186)
7679041515,15.1645893,120.6041529,3,,,POINT (120.6041529 15.1645893)
7679041516,15.1651253,120.6034447,3,,,POINT (120.6034447 15.1651253)
7679041520,15.1649499,120.6031871,3,,,POINT (120.6031871 15.1649499)
7679041521,15.1651076,120.6034692,3,,,POINT (120.6034692 15.1651076)
7679041525,15.1642471,120.6033625,1,,,POINT (120.6033625 15.1642471)
7679042138,15.1389516,120.624002,1,,,POINT (120.624002 15.1389516)
7679042141,15.1398267,120.6234562,3,,,POINT (120.6234562 15.1398267)
7679042142,15.1403297,120.6248516,1,,,POINT (120.6248516 15.1403297)
7679042143,15.1401549,120.6249294,3,,,POINT (120.6249294 15.1401549)
7679044173,15.1835031,120.5443418,3,,,POINT (120.5443418 15.1835031)
7679044174,15.1838027,120.5444739,1,,,POINT (120.5444739 15.1838027)
7679044179,15.1837614,120.5436799,3,,,POINT (120.5436799 15.1837614)
7679044180,15.1826949,120.5445423,3,,,POINT (120.5445423 15.1826949)
7679044181,15.1833581,120.5451936,3,,,POINT (120.5451936 15.1833581)
7679048947,15.2023704,120.5311266,1,,,POINT (120.5311266 15.2023704)
7679057332,15.1521894,120.6305387,3,,,POINT (120.6305387 15.1521894)
7679057334,15.153549,120.6314538,3,,,POINT (120.6314538 15.153549)
7679057348,15.1525492,120.6304139,3,,,POINT (120.6304139 15.1525492)
7679057352,15.1512482,120.6291023,3,,,POINT (120.6291023 15.1512482)
7679057361,15.1518528,120.6295328,3,,,POINT (120.6295328 15.1518528)
7679057363,15.1536663,120.6308292,3,,,POINT (120.6308292 15.1536663)
7679057377,15.1511862,120.6285015,3,,,POINT (120.6285015 15.1511862)
7679057382,15.1524482,120.6294859,3,,,POINT (120.6294859 15.1524482)
7679071285,15.153159,120.629907,1,,,POINT (120.629907 15.153159)
7679071286,15.153489,120.6301604,1,,,POINT (120.6301604 15.153489)
7679071288,15.1532715,120.6299941,3,,,POINT (120.6299941 15.1532715)
7679071289,15.1532008,120.6300819,3,,,POINT (120.6300819 15.1532008)
7679071292,15.1530476,120.6301015,1,,,POINT (120.6301015 15.1530476)
7679071293,15.1534283,120.6304138,3,,,POINT (120.6304138 15.1534283)
7679071302,15.1532224,120.6302409,3,,,POINT (120.6302409 15.1532224)
7679071303,15.1532904,120.6301561,3,,,POINT (120.6301561 15.1532904)
7679071306,15.1527383,120.6298941,3,,,POINT (120.6298941 15.1527383)
7679071309,15.1528999,120.6296585,3,,,POINT (120.6296585 15.1528999)
7679071313,15.1530021,120.6299158,3,,,POINT (120.6299158 15.1530021)
7679071329,15.1579381,120.6333805,1,,,POINT (120.6333805 15.1579381)
7679071338,15.1581232,120.6311944,1,,,POINT (120.6311944 15.1581232)
7679071339,15.158263,120.6309391,3,,,POINT (120.6309391 15.158263)
7679071340,15.1555738,120.6296079,1,,,POINT (120.6296079 15.1555738)
7679071343,15.1556638,120.6297299,1,,,POINT (120.6297299 15.1556638)
7679071345,15.1566819,120.6299069,1,,,POINT (120.6299069 15.1566819)
7679071350,15.1567485,120.6297842,3,,,POINT (120.6297842 15.1567485)
7679071355,15.1569045,120.6294153,3,,,POINT (120.6294153 15.1569045)
7679071357,15.1575873,120.6286651,1,,,POINT (120.6286651 15.1575873)
7679071358,15.1576481,120.6285384,3,,,POINT (120.6285384 15.1576481)
7679071361,15.1543136,120.6263181,3,,,POINT (120.6263181 15.1543136)
7679071366,15.1542696,120.6263825,1,,,POINT (120.6263825 15.1542696)
7679071380,15.1563045,120.6264134,1,,,POINT (120.6264134 15.1563045)
7679071381,15.1571526,120.6271328,1,,,POINT (120.6271328 15.1571526)
7679075002,15.1383781,120.6243709,1,,,POINT (120.6243709 15.1383781)
7679075003,15.1386247,120.6249229,3,,,POINT (120.6249229 15.1386247)
7679075005,15.1386732,120.624505,1,,,POINT (120.624505 15.1386732)
7679075006,15.1388596,120.6243843,1,,,POINT (120.6243843 15.1388596)
7679075009,15.1390014,120.6247947,3,,,POINT (120.6247947 15.1390014)
7679075010,15.1388027,120.6248644,3,,,POINT (120.6248644 15.1388027)
7679075015,15.1366917,120.6257979,4,,,POINT (120.6257979 15.1366917)
7679085033,15.1594138,120.6016982,1,,,POINT (120.6016982 15.1594138)
7679085047,15.1599026,120.6011674,3,,,POINT (120.6011674 15.1599026)
7679085054,15.1592674,120.601035,1,,,POINT (120.601035 15.1592674)
7679085059,15.1603896,120.6012891,3,,,POINT (120.6012891 15.1603896)
7679085060,15.1597769,120.6011335,3,,,POINT (120.6011335 15.1597769)
7679085063,15.1597852,120.6010303,3,,,POINT (120.6010303 15.1597852)
7679085067,15.1595756,120.6003772,1,,,POINT (120.6003772 15.1595756)
7679085068,15.1605591,120.600631,3,,,POINT (120.600631 15.1605591)
7679085069,15.1602157,120.6004958,1,,,POINT (120.6004958 15.1602157)
7679085074,15.159358,120.6001035,1,,,POINT (120.6001035 15.159358)
7679085077,15.1599803,120.6001486,3,,,POINT (120.6001486 15.1599803)
7679085078,15.1597425,120.5998971,1,,,POINT (120.5998971 15.1597425)
7679085079,15.1596894,120.6001975,1,,,POINT (120.6001975 15.1596894)
7679097485,15.1597026,120.5994745,3,,,POINT (120.5994745 15.1597026)
7679097488,15.1589775,120.600691,1,,,POINT (120.600691 15.1589775)
7679097494,15.1590422,120.6001465,3,,,POINT (120.6001465 15.1590422)
7679097504,15.1589297,120.5999239,3,,,POINT (120.5999239 15.1589297)
7679097510,15.1598651,120.5993183,3,,,POINT (120.5993183 15.1598651)
7679097522,15.1600929,120.5987785,3,,,POINT (120.5987785 15.1600929)
7679097528,15.1605548,120.5983501,1,,,POINT (120.5983501 15.1605548)
7679097533,15.1603559,120.597897,3,,,POINT (120.597897 15.1603559)
7679097534,15.1600202,120.5986975,1,,,POINT (120.5986975 15.1600202)
7679097544,15.160569,120.5996986,3,,,POINT (120.5996986 15.160569)
7679097546,15.1608008,120.5984916,1,,,POINT (120.5984916 15.1608008)
7679097550,15.1622463,120.5995272,3,,,POINT (120.5995272 15.1622463)
7679097559,15.1623043,120.5987331,3,,,POINT (120.5987331 15.1623043)
7679097572,15.1628673,120.5984634,1,,,POINT (120.5984634 15.1628673)
7679097577,15.1635483,120.597965,3,,,POINT (120.597965 15.1635483)
7679097578,15.1635132,120.597644,1,,,POINT (120.597644 15.1635132)
7679097580,15.1637045,120.5979414,3,,,POINT (120.5979414 15.1637045)
7679097581,15.1631857,120.5990401,1,,,POINT (120.5990401 15.1631857)
7679097588,15.1636888,120.5990966,3,,,POINT (120.5990966 15.1636888)
7679097591,15.1619463,120.6043803,1,,,POINT (120.6043803 15.1619463)
7679097603,15.1596791,120.6031265,1,,,POINT (120.6031265 15.1596791)
7679107874,15.1975561,120.5235252,1,,,POINT (120.5235252 15.1975561)
7679141053,15.1710957,120.5272038,1,,,POINT (120.5272038 15.1710957)
7679141060,15.1711216,120.5264642,3,,,POINT (120.5264642 15.1711216)
7679141063,15.1737621,120.5300215,1,,,POINT (120.5300215 15.1737621)
7679141067,15.1719306,120.5259144,1,,,POINT (120.5259144 15.1719306)
7679141078,15.1718231,120.526139,1,,,POINT (120.526139 15.1718231)
7679141079,15.1729766,120.5258402,3,,,POINT (120.5258402 15.1729766)
7679141080,15.1732236,120.5268565,1,,,POINT (120.5268565 15.1732236)
7679141083,15.1731552,120.5262599,3,,,POINT (120.5262599 15.1731552)
7679141084,15.1742074,120.5258473,1,,,POINT (120.5258473 15.1742074)
7679145035,15.1827607,120.5443414,1,,,POINT (120.5443414 15.1827607)
7679146857,15.1826333,120.5446702,3,,,POINT (120.5446702 15.1826333)
7679161085,15.1747503,120.5258332,1,,,POINT (120.5258332 15.1747503)
7679192785,15.1396571,120.5536799,1,,,POINT (120.5536799 15.1396571)
7679192814,15.1378978,120.5564895,1,,,POINT (120.5564895 15.1378978)
7679192815,15.1380747,120.5566947,3,,,POINT (120.5566947 15.1380747)
7679192816,15.1382772,120.5564033,1,,,POINT (120.5564033 15.1382772)
7679192820,15.1374389,120.5573217,3,,,POINT (120.5573217 15.1374389)
7679303421,15.1917308,120.5036111,3,,,POINT (120.5036111 15.1917308)
7679318787,15.1712963,120.6355838,4,,,POINT (120.6355838 15.1712963)
7679318788,15.1714763,120.6359178,3,,,POINT (120.6359178 15.1714763)
7679318831,15.1767455,120.6377484,1,,,POINT (120.6377484 15.1767455)
7679318832,15.1766888,120.6373236,3,,,POINT (120.6373236 15.1766888)
7679318848,15.1750901,120.6375207,3,,,POINT (120.6375207 15.1750901)
7679318856,15.1760225,120.6364968,1,,,POINT (120.6364968 15.1760225)
7679332032,15.1901209,120.5031539,3,,,POINT (120.5031539 15.1901209)
7679364645,15.1919081,120.5050367,1,,,POINT (120.5050367 15.1919081)
7679364646,15.1922533,120.504649,3,,,POINT (120.504649 15.1922533)
7679364647,15.1875892,120.4958039,1,,,POINT (120.4958039 15.1875892)
7679364652,15.1860519,120.4982025,3,,,POINT (120.4982025 15.1860519)
7679364653,15.1859851,120.4981832,3,,,POINT (120.4981832 15.1859851)
7679364658,15.1868049,120.4982507,3,,,POINT (120.4982507 15.1868049)
