u,v,key,osmid,oneway,name,highway,access,length,maxspeed,width,geometry,lanes,junction,bridge,ref,tunnel,service
254707126,254707947,0,23520807,False,Camilla,residential,,29.513,,6,"LINESTRING (123.2294603 13.6230544, 123.2292596 13.6232344)",,,,,,
254707126,8414766187,0,23520842,False,Crossandra,residential,,39.327,,6,"LINESTRING (123.2294603 13.6230544, 123.2293294 13.6227244)",,,,,,
254707126,254707132,0,23521999,False,,residential,,120.24199999999999,,6,"LINESTRING (123.2294603 13.6230544, 123.2295106 13.6232367, 123.2295492 13.6233945, 123.2295198 13.6236582, 123.2294566 13.6241193)",,,,,,
254707132,254707978,0,23520857,False,,residential,,42.332,,6,"LINESTRING (123.2294566 13.6241193, 123.2298071 13.6242893)",,,,,,
254707132,254707933,0,"[23520857, 23520823]",False,,residential,,35.831,,6,"LINESTRING (123.2294566 13.6241193, 123.2292974 13.6240603, 123.2291413 13.6240213)",,,,,,
254707132,254707126,0,23521999,False,,residential,,120.24199999999999,,6,"LINESTRING (123.2294566 13.6241193, 123.2295198 13.6236582, 123.2295492 13.6233945, 123.2295106 13.6232367, 123.2294603 13.6230544)",,,,,,
254707160,254707292,0,23520773,False,,residential,,29.377,,6,"LINESTRING (123.239688 13.6438331, 123.2397127 13.64357)",,,,,,
254707160,254707195,0,23520773,False,,residential,,24.502,,6,"LINESTRING (123.239688 13.6438331, 123.2396681 13.6440526)",,,,,,
254707160,2396217455,0,23522094,False,,residential,,202.25100000000003,,6,"LINESTRING (123.239688 13.6438331, 123.2386476 13.6438448, 123.2385506 13.6438714, 123.2385035 13.6439395, 123.238458 13.6440529, 123.2384426 13.644136, 123.2384375 13.6445576)",,,,,,
254707162,254707237,0,23521605,False,,residential,,64.183,,6,"LINESTRING (123.2405059 13.644446, 123.2405428 13.6438699)",,,,,,
254707162,2445411455,0,23521605,False,,residential,,26.556,,6,"LINESTRING (123.2405059 13.644446, 123.2404882 13.6446842)",,,,,,
