osmid,y,x,street_count,highway,ref,geometry
7314474319,14.2907458,120.9741886,3,,,POINT (120.9741886 14.2907458)
7314474323,14.2905872,120.9749393,3,,,POINT (120.9749393 14.2905872)
7314474326,14.2905227,120.9757421,4,,,POINT (120.9757421 14.2905227)
7314474328,14.2905236,120.9768504,4,,,POINT (120.9768504 14.2905236)
7314474329,14.2905228,120.9774237,4,,,POINT (120.9774237 14.2905228)
7314474332,14.2904565,120.9796111,4,,,POINT (120.9796111 14.2904565)
7314494849,14.2908172,120.9740459,4,crossing,,POINT (120.9740459 14.2908172)
7314494850,14.2907707,120.9741388,4,crossing,,POINT (120.9741388 14.2907707)
7330612091,14.3209293,120.9848273,1,,,POINT (120.9848273 14.3209293)
7330612092,14.3027409,120.9821454,1,,,POINT (120.9821454 14.3027409)
7330612106,14.3078064,120.9801552,3,,,POINT (120.9801552 14.3078064)
7330612107,14.3077804,120.9800264,3,,,POINT (120.9800264 14.3077804)
7330612111,14.308065,120.9800613,3,,,POINT (120.9800613 14.308065)
7330612112,14.3100961,120.9796201,1,turning_circle,,POINT (120.9796201 14.3100961)
7330612119,14.309345,120.9800103,3,,,POINT (120.9800103 14.309345)
7330612122,14.3087758,120.9800452,3,,,POINT (120.9800452 14.3087758)
7330612123,14.3091186,120.9801349,3,,,POINT (120.9801349 14.3091186)
7330612124,14.3090362,120.9801374,3,,,POINT (120.9801374 14.3090362)
7330612125,14.3071826,120.9780228,1,,,POINT (120.9780228 14.3071826)
7330612126,14.3089187,120.9797357,3,,,POINT (120.9797357 14.3089187)
7330612127,14.3090121,120.9784658,3,,,POINT (120.9784658 14.3090121)
7330612128,14.308685,120.9797394,3,,,POINT (120.9797394 14.308685)
7330612129,14.3087782,120.9784639,3,,,POINT (120.9784639 14.3087782)
7330612130,14.3084458,120.9797436,3,,,POINT (120.9797436 14.3084458)
7330612131,14.3085392,120.9784616,3,,,POINT (120.9784616 14.3085392)
7330612132,14.3082041,120.9797477,3,,,POINT (120.9797477 14.3082041)
7330612133,14.3083001,120.9784595,3,,,POINT (120.9784595 14.3083001)
7330612134,14.307479,120.97976,3,,,POINT (120.97976 14.307479)
7330612135,14.3075724,120.978459,3,,,POINT (120.978459 14.3075724)
7330612137,14.3078198,120.9784581,4,,,POINT (120.9784581 14.3078198)
7330612138,14.3077182,120.979756,3,,,POINT (120.979756 14.3077182)
7330612141,14.307957,120.9797519,3,,,POINT (120.9797519 14.307957)
7330612143,14.3080559,120.9784573,4,,,POINT (120.9784573 14.3080559)
7330612156,14.3092618,120.9784681,3,,,POINT (120.9784681 14.3092618)
7374323733,14.3017683,120.9543377,1,,,POINT (120.9543377 14.3017683)
7374323734,14.3017203,120.9543221,3,,,POINT (120.9543221 14.3017203)
7374323736,14.3017219,120.9543417,1,,,POINT (120.9543417 14.3017219)
7374323737,14.3017119,120.9542187,3,,,POINT (120.9542187 14.3017119)
7374323741,14.3018992,120.953248,1,,,POINT (120.953248 14.3018992)
7403780769,14.298733,120.9726799,3,,,POINT (120.9726799 14.298733)
7403780770,14.3004335,120.9750147,3,,,POINT (120.9750147 14.3004335)
7403780781,14.3018738,120.9710832,4,,,POINT (120.9710832 14.3018738)
7403780784,14.3015791,120.9716606,3,,,POINT (120.9716606 14.3015791)
7403856387,14.3020131,120.9707969,3,,,POINT (120.9707969 14.3020131)
7403856391,14.3030013,120.9728839,3,,,POINT (120.9728839 14.3030013)
7403856392,14.3031567,120.97224,3,,,POINT (120.97224 14.3031567)
7403856394,14.3031073,120.9725913,3,,,POINT (120.9725913 14.3031073)
7403856400,14.3017298,120.971379,4,,,POINT (120.971379 14.3017298)
7403856406,14.3000092,120.9703195,3,,,POINT (120.9703195 14.3000092)
7403856407,14.3000292,120.9740078,3,,,POINT (120.9740078 14.3000292)
7403856410,14.2997311,120.9732994,3,,,POINT (120.9732994 14.2997311)
7403856413,14.2996401,120.9726718,3,,,POINT (120.9726718 14.2996401)
7403856414,14.2996635,120.9723553,3,,,POINT (120.9723553 14.2996635)
7403856415,14.2997103,120.972012,3,,,POINT (120.972012 14.2997103)
7403856416,14.2999442,120.9706145,3,,,POINT (120.9706145 14.2999442)
7403856417,14.3024989,120.9742301,3,,,POINT (120.9742301 14.3024989)
7403856426,14.3024984,120.973949,3,,,POINT (120.973949 14.3024984)
7403856427,14.3027945,120.9740848,3,,,POINT (120.9740848 14.3027945)
7403856428,14.3031244,120.9761052,3,,,POINT (120.9761052 14.3031244)
7403856438,14.3031287,120.9764485,3,,,POINT (120.9764485 14.3031287)
7403856449,14.3031109,120.9750003,3,,,POINT (120.9750003 14.3031109)
7404514513,14.2964333,120.9871168,1,,,POINT (120.9871168 14.2964333)
7405366890,14.3494582,120.9404813,1,,,POINT (120.9404813 14.3494582)
7405366893,14.3492685,120.9410942,1,,,POINT (120.9410942 14.3492685)
7412873298,14.3273555,120.9499514,3,,,POINT (120.9499514 14.3273555)
7419427642,14.2845374,120.9853816,3,,,POINT (120.9853816 14.2845374)
7419427659,14.2851471,120.9874991,1,,,POINT (120.9874991 14.2851471)
7419427663,14.2866884,120.9901786,3,,,POINT (120.9901786 14.2866884)
7419427676,14.2906244,120.9749469,4,crossing,,POINT (120.9749469 14.2906244)
7419427677,14.2907289,120.9749683,3,,,POINT (120.9749683 14.2907289)
7424089876,14.3498519,120.9677137,4,,,POINT (120.9677137 14.3498519)
7425017023,14.3505844,120.9406335,4,crossing,,POINT (120.9406335 14.3505844)
7425017024,14.3506639,120.9406304,4,crossing,,POINT (120.9406304 14.3506639)
