u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,length,geometry,service,bridge,width,access
311731242,1141945406,0,256012231,,,Lamtang Road,primary,,False,218.643,"LINESTRING (120.5494642 16.4400733, 120.5494118 16.4400296, 120.549373 16.4399955, 120.5493186 16.4399563, 120.5492543 16.439919, 120.5491906 16.4398707, 120.549143 16.4398103, 120.5491054 16.4397138, 120.5490692 16.4395363, 120.549033 16.4393363, 120.548986 16.4392694, 120.548925 16.4392218, 120.5488516 16.4391832, 120.5488147 16.4391736, 120.5487554 16.4391684, 120.5485998 16.4391581, 120.5484393 16.4391601, 120.548294 16.4391401, 120.548168 16.4391118, 120.5480056 16.439037)",,,,
311731242,6359907921,0,679190985,,,,residential,,False,32.835,"LINESTRING (120.5494642 16.4400733, 120.549552 16.4401589, 120.5495916 16.4402077, 120.549666 16.4402958)",,,,
311731301,7927381628,0,256012231,,,Lamtang Road,primary,,False,28.872,"LINESTRING (120.5501528 16.442541, 120.5502145 16.4426336, 120.550299 16.4427211, 120.5503229 16.4427412)",,,,
311731301,1141945388,0,256012231,,,Lamtang Road,primary,,False,31.914,"LINESTRING (120.5501528 16.442541, 120.5501354 16.4424716, 120.5501367 16.4424072, 120.5501421 16.4423391, 120.5501641 16.4422589)",,,,
311731301,7927311476,0,849683488,,,,residential,,False,67.695,"LINESTRING (120.5501528 16.442541, 120.5502105 16.4424253, 120.5502681 16.4423416, 120.5503486 16.4422632, 120.5504371 16.4422117, 120.5505981 16.4421384)",,,,
311732038,311732039,0,780061977,2,,Pico-Lamtang Road,primary,,False,115.62900000000002,"LINESTRING (120.5688813 16.4450595, 120.5688652 16.4452923, 120.5688746 16.4456859, 120.5689012 16.4459552, 120.5689216 16.4460962)",,,,
311732038,3804381024,0,780061977,2,,Pico-Lamtang Road,primary,,False,730.0860000000001,"LINESTRING (120.5688813 16.4450595, 120.5689417 16.4449733, 120.5690356 16.4449039, 120.5691911 16.4448576, 120.5693051 16.4448447, 120.5695908 16.4448241, 120.5696551 16.4448254, 120.5697075 16.4448061, 120.5697611 16.4447572, 120.569808 16.4446453, 120.5698119 16.4442907, 120.5697934 16.4441636, 120.569745 16.4439752, 120.5696458 16.4438221, 120.5695247 16.4437005, 120.5694231 16.4436099, 120.5692944 16.443498, 120.5691724 16.4433591, 120.5689041 16.4430311, 120.5687392 16.4428163, 120.5686399 16.4427314, 120.5685675 16.4426877, 120.5684844 16.4426709, 120.5684106 16.4426465, 120.5682899 16.4426182, 120.5681169 16.4425397, 120.5679841 16.4424523, 120.5678889 16.4423957, 120.5678205 16.4423494, 120.5677696 16.4423056, 120.5677213 16.442204, 120.5676663 16.4419892, 120.5676328 16.4418876, 120.5675724 16.4418014, 120.5674759 16.4417397, 120.5673967 16.441714, 120.567272 16.4416985, 120.5671714 16.4416959, 120.5670494 16.4417062, 120.5669045 16.4417294, 120.5667771 16.441786, 120.5666471 16.4418773, 120.5665304 16.4419455, 120.566403 16.4420265, 120.5661267 16.4422722, 120.5660784 16.4422902, 120.5660315 16.4422953)",,,,
311732038,8824763360,0,953422552,,,,service,,False,238.32199999999997,"LINESTRING (120.5688813 16.4450595, 120.5688652 16.4450286, 120.5688565 16.4449933, 120.5688598 16.4449526, 120.5688679 16.4448498, 120.5689283 16.4445424, 120.5689484 16.4444177, 120.5689189 16.4443765, 120.5688196 16.4443585, 120.5686641 16.4443971, 120.5682269 16.4444408, 120.5679265 16.4444923, 120.5674544 16.4446337)",driveway,,,
311732039,4305559351,0,780061977,2,,Pico-Lamtang Road,primary,,False,8.3,"LINESTRING (120.5689216 16.4460962, 120.5689686 16.4461557)",,,,
311732039,3801851557,0,376798446,,,,service,,False,30.958000000000002,"LINESTRING (120.5689216 16.4460962, 120.5688763 16.4461775, 120.5688667 16.4462685, 120.5688882 16.446361)",driveway,,,
